Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam
19/08/2023,15:17:17,base,0x3f47d889c57b9fd3df6a002a5d5c37afd5039f986e96b0859bf3001436914f76,https://basescan.org/tx/0x3f47d889c57b9fd3df6a002a5d5c37afd5039f986e96b0859bf3001436914f76,claim,0xa38d82e3f872d33b3ca220814b3a6f85ecadc76c,,Dooor,token,1,0,no
19/08/2023,15:23:23,base,0xd09adee01e8c4aec0222edba0e7f4d4f37f5c25964785f085a4ab8636e0a1bdc,https://basescan.org/tx/0xd09adee01e8c4aec0222edba0e7f4d4f37f5c25964785f085a4ab8636e0a1bdc,mint,0x061a883e8c2feffb4f3ea42046abd4be88e1333f,,OMNIA2,token,1,0,no
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
,,,,,,,,OMNIA2,token,1,0,
19/08/2023,14:33:33,op,0x6d6c48e4ea077abc357e3032f58835b51261993cc6e98512be7e0d7185e33a54,https://optimistic.etherscan.io/tx/0x6d6c48e4ea077abc357e3032f58835b51261993cc6e98512be7e0d7185e33a54,receive,0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,Stargate,USDC,token,101.774487,101.8050193461,no
19/08/2023,14:49:49,base,0x98649c50d24d7c1a8c2f19bbea2b203cdb8c1c14d1ee74fa091874e810e2cdae,https://basescan.org/tx/0x98649c50d24d7c1a8c2f19bbea2b203cdb8c1c14d1ee74fa091874e810e2cdae,swap,0x45f1a95a4d3f3836523f5c83673c797f4d4d263b,Stargate,ETH,token,-0.000793539449433715,-1.3177357389406383,no
,,,,,,,,USDbC,token,-101.835587,-101.86754168826779,
19/08/2023,14:37:37,base,0x188cc5ab3eddeb560a2eee3da7b0273ce229f08ef22e1d98cb93efe797ee7de0,https://basescan.org/tx/0x188cc5ab3eddeb560a2eee3da7b0273ce229f08ef22e1d98cb93efe797ee7de0,approve,0x45f1a95a4d3f3836523f5c83673c797f4d4d263b,Stargate,,,,,no
19/08/2023,14:43:43,base,0x77b89e803f9ae35953d0b520d6af46658b1ae453f33e6961c6c835d2e0846bec,https://basescan.org/tx/0x77b89e803f9ae35953d0b520d6af46658b1ae453f33e6961c6c835d2e0846bec,bondWithdrawalAndDistribute,0x46ae9bab8cea96610807a275ebd36f8e916b5c61,Hop Protocol,USDbC,token,101.835587,101.86754168826779,no
19/08/2023,14:47:47,matic,0x72a78544660b865df4e064c1df74d08ee24b576451b525f444a3f103f67eee47,https://polygonscan.com/tx/0x72a78544660b865df4e064c1df74d08ee24b576451b525f444a3f103f67eee47,approve,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,,,,,no
19/08/2023,14:27:27,matic,0x19aadf92a77b3af267a707ede25134fdc2ba831ed02d020be163bd3555184252,https://polygonscan.com/tx/0x19aadf92a77b3af267a707ede25134fdc2ba831ed02d020be163bd3555184252,send,0x3a23f943181408eac424116af7b7790c94cb97a5,Socket,USDC,token,-102.261822,-102.2925005466,no
19/08/2023,14:49:49,matic,0xdc92c08bd0a0538001bf5762287848da3328d632ae51730907b0a746cf4f3450,https://polygonscan.com/tx/0xdc92c08bd0a0538001bf5762287848da3328d632ae51730907b0a746cf4f3450,sendFundsToUserV2,0x2a5c2568b10a0e826bfa892cf21ba7218310180b,Hyphen,USDC,token,102.261822,102.2925005466,no
19/08/2023,14:15:15,bsc,0x7d03d572f5f9b4b911dcf8edb9c9ac95c876c32a995254ed38e9957939b53d17,https://bscscan.com/tx/0x7d03d572f5f9b4b911dcf8edb9c9ac95c876c32a995254ed38e9957939b53d17,startBridgeTokensViaHyphen,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,USDC,token,-102.33141827544695,-102.36211770092957,no
19/08/2023,13:57:57,bsc,0xbe56b30c4c90d6b2a5c5e7b05eb67baf2e4acaad9db0af6b511fba4eed1d89fe,https://bscscan.com/tx/0xbe56b30c4c90d6b2a5c5e7b05eb67baf2e4acaad9db0af6b511fba4eed1d89fe,approve,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LI.FI,,,,,no
19/08/2023,13:36:36,bsc,0xa82088aa38724da3f3915a920ea51dbc5e2f9e847dc644d9306f3001da236a15,https://bscscan.com/tx/0xa82088aa38724da3f3915a920ea51dbc5e2f9e847dc644d9306f3001da236a15,mintAndSwap,0xd123f70ae324d34a9e76b67a27bf77593ba8749f,Synapse,USDC,token,102.33141827544695,102.36211770092957,no
,,,,,,,,BNB,token,0.003,0.6447,
19/08/2023,13:20:20,metis,0xe62e615a9144b09bbbf3aa3b17d4fe5ecf692f6326273ffdb41a85dabc2bdb89,https://andromeda-explorer.metis.io/tx/0xe62e615a9144b09bbbf3aa3b17d4fe5ecf692f6326273ffdb41a85dabc2bdb89,bridge,0x7e7a0e201fd38d3adaa9523da6c109a07118c96a,,m.USDC,token,-104.76171,-104.79313851299999,no
19/08/2023,13:20:20,metis,0x85b6078ffbb87c048d6fb30e20bb84bb0a36cc28d9934f1e8b1869513114aa16,https://andromeda-explorer.metis.io/tx/0x85b6078ffbb87c048d6fb30e20bb84bb0a36cc28d9934f1e8b1869513114aa16,approve,0x7e7a0e201fd38d3adaa9523da6c109a07118c96a,,,,,,no
19/08/2023,13:32:32,opbnb,0xd0f9d02f553e55f27ec68aab76de7ab36e832415a8665f43a22eddd18e22c8c1,https://mainnet.opbnbscan.com/tx/0xd0f9d02f553e55f27ec68aab76de7ab36e832415a8665f43a22eddd18e22c8c1,receive,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,,BNB,token,0.09000000000000016,19.341000000000037,no
19/08/2023,13:05:05,bsc,0x1b1805145e71251d4543121ca37b37bd9bd91b52e08caa71b99f2e6783c85f0e,https://bscscan.com/tx/0x1b1805145e71251d4543121ca37b37bd9bd91b52e08caa71b99f2e6783c85f0e,send,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,,BNB,token,-0.09050000000000902,-19.448450000001937,no
19/08/2023,13:25:25,op,0x7dd29cdffafd386b038acb29e63f0a68594235322bbb496a5b1e9c6345d1073a,https://optimistic.etherscan.io/tx/0x7dd29cdffafd386b038acb29e63f0a68594235322bbb496a5b1e9c6345d1073a,vote,0x15fa08599eb017f89c1712d0fe76138899fdb9db,,ETH,token,-0.004,-6.644,no
